id,dimension,subtask,specialty,difficulty,stem,question,options,reference_answer,rubric,source_type,deid_applied,deid_checklist,notes
CCHARD-PUB-0001,scenario_decision,T05_diagnosis,乳腺科,Expert-Hard,一名30–39岁女性接受临床评估。主要表现包括未出现明确呼吸道症状，体格检查双肺呼吸音清。影像或功能评估发现胸部CT及PET-CT示双肺多发结节，部分代谢增高，与前次相比增多增大、既往乳腺癌病史及病理证实LuminalB型HER2阴性,请列出最可能的主要诊断及必要的次要诊断，按临床重要性排序；仅依据病例资料作答，并标明仍需验证的不确定诊断。,null,"{""diagnoses"":[{""rank"":1,""name"":""左乳腺癌术后多发肺转移（LuminalB型HER2阴性）"",""certainty"":""参考资料支持；应结合公开病例信息判断确定性""},{""rank"":2,""name"":""左乳腺癌改良根治术后状态"",""certainty"":""参考资料支持；应结合公开病例信息判断确定性""},{""rank"":3,""name"":""放射性肺炎"",""certainty"":""参考资料支持；应结合公开病例信息判断确定性""}]}","{""scale"":[0,100],""criteria"":[{""name"":""主要诊断准确性"",""points"":40},{""name"":""必要次要诊断覆盖"",""points"":20},{""name"":""排序与临床重要性"",""points"":20},{""name"":""术语规范与不确定性表达"",""points"":10},{""name"":""无病例外臆测"",""points"":10}],""critical_errors"":[""遗漏危及生命的主要诊断"",""把缺乏证据的诊断表述为已确诊"",""编造病例外检查或病史""]}",team_authored,true,"{""no_name"":true,""no_identifier"":true,""no_exact_date"":true,""no_institution"":true,""no_copyright_source_text"":true}",团队病例池中的临床情景经重新组织和临床等价改写；公开文本仅保留完成任务所需信息，已删除或泛化身份、时间、机构和地点信息。
CCHARD-PUB-0002,scenario_decision,T05_diagnosis,乳腺科,Expert-Hard,一名50–59岁女性接受临床评估。主要表现包括既往左乳浸润性癌术后5年余，体质良好，未出现明确全身症状。实验室要点为免疫组化：ER高表达、PR高表达、HER2术后2+且FISH扩增，本次复发HER21+，Ki-6730%。影像或功能评估发现PET-CT及MRI示多发淋巴结及肺结节异常放射性浓聚，符合乳腺癌转移表现,请列出最可能的主要诊断及必要的次要诊断，按临床重要性排序；仅依据病例资料作答，并标明仍需验证的不确定诊断。,null,"{""diagnoses"":[{""rank"":1,""name"":""晚期乳腺癌复发转移（LuminalB型HER2阳性）"",""certainty"":""参考资料支持；应结合公开病例信息判断确定性""},{""rank"":2,""name"":""腹腔及全身多发淋巴结转移"",""certainty"":""参考资料支持；应结合公开病例信息判断确定性""},{""rank"":3,""name"":""胰腺区腹腔淋巴结转移"",""certainty"":""参考资料支持；应结合公开病例信息判断确定性""},{""rank"":4,""name"":""左肺下叶转移性结节"",""certainty"":""参考资料支持；应结合公开病例信息判断确定性""}]}","{""scale"":[0,100],""criteria"":[{""name"":""主要诊断准确性"",""points"":40},{""name"":""必要次要诊断覆盖"",""points"":20},{""name"":""排序与临床重要性"",""points"":20},{""name"":""术语规范与不确定性表达"",""points"":10},{""name"":""无病例外臆测"",""points"":10}],""critical_errors"":[""遗漏危及生命的主要诊断"",""把缺乏证据的诊断表述为已确诊"",""编造病例外检查或病史""]}",team_authored,true,"{""no_name"":true,""no_identifier"":true,""no_exact_date"":true,""no_institution"":true,""no_copyright_source_text"":true}",团队病例池中的临床情景经重新组织和临床等价改写；公开文本仅保留完成任务所需信息，已删除或泛化身份、时间、机构和地点信息。
CCHARD-PUB-0003,scenario_decision,T05_diagnosis,产科,Expert-Hard,一名20–29岁女性接受临床评估。主要表现包括孕期超声多次结果支持胎儿体型大于+2SD、孕25+2周超声见胎儿舌头偶伸出口外。实验室要点为脐血穿刺检测染色体11p15区域IC1（H19）甲基化增高。影像或功能评估发现孕23、24、25周超声结果支持巨大胎儿、羊水增多、舌头伸出口外,请列出最可能的主要诊断及必要的次要诊断，按临床重要性排序；仅依据病例资料作答，并标明仍需验证的不确定诊断。,null,"{""diagnoses"":[{""rank"":1,""name"":""贝克威思-威德曼综合征"",""certainty"":""参考资料支持；应结合公开病例信息判断确定性""},{""rank"":2,""name"":""羊水过多"",""certainty"":""参考资料支持；应结合公开病例信息判断确定性""},{""rank"":3,""name"":""胎儿双侧肾盂分离"",""certainty"":""参考资料支持；应结合公开病例信息判断确定性""},{""rank"":4,""name"":""巨大胎儿"",""certainty"":""参考资料支持；应结合公开病例信息判断确定性""}]}","{""scale"":[0,100],""criteria"":[{""name"":""主要诊断准确性"",""points"":40},{""name"":""必要次要诊断覆盖"",""points"":20},{""name"":""排序与临床重要性"",""points"":20},{""name"":""术语规范与不确定性表达"",""points"":10},{""name"":""无病例外臆测"",""points"":10}],""critical_errors"":[""遗漏危及生命的主要诊断"",""把缺乏证据的诊断表述为已确诊"",""编造病例外检查或病史""]}",team_authored,true,"{""no_name"":true,""no_identifier"":true,""no_exact_date"":true,""no_institution"":true,""no_copyright_source_text"":true}",团队病例池中的临床情景经重新组织和临床等价改写；公开文本仅保留完成任务所需信息，已删除或泛化身份、时间、机构和地点信息。
CCHARD-PUB-0004,scenario_decision,T05_diagnosis,产科,Expert-Hard,一名30–39岁女性接受临床评估。主要表现包括孕28周出现尿蛋白、血压高于参考范围伴多系统症状。实验室要点为尿蛋白阳性、凝血功能障碍,请列出最可能的主要诊断及必要的次要诊断，按临床重要性排序；仅依据病例资料作答，并标明仍需验证的不确定诊断。,null,"{""diagnoses"":[{""rank"":1,""name"":""重度子痫前期"",""certainty"":""参考资料支持；应结合公开病例信息判断确定性""},{""rank"":2,""name"":""胎盘功能障碍伴胎盘早剥"",""certainty"":""参考资料支持；应结合公开病例信息判断确定性""},{""rank"":3,""name"":""胎儿宫内发育受限"",""certainty"":""参考资料支持；应结合公开病例信息判断确定性""},{""rank"":4,""name"":""妊娠期肝内胆汁淤积症"",""certainty"":""参考资料支持；应结合公开病例信息判断确定性""}]}","{""scale"":[0,100],""criteria"":[{""name"":""主要诊断准确性"",""points"":40},{""name"":""必要次要诊断覆盖"",""points"":20},{""name"":""排序与临床重要性"",""points"":20},{""name"":""术语规范与不确定性表达"",""points"":10},{""name"":""无病例外臆测"",""points"":10}],""critical_errors"":[""遗漏危及生命的主要诊断"",""把缺乏证据的诊断表述为已确诊"",""编造病例外检查或病史""]}",team_authored,true,"{""no_name"":true,""no_identifier"":true,""no_exact_date"":true,""no_institution"":true,""no_copyright_source_text"":true}",团队病例池中的临床情景经重新组织和临床等价改写；公开文本仅保留完成任务所需信息，已删除或泛化身份、时间、机构和地点信息。
CCHARD-PUB-0005,scenario_decision,T05_diagnosis,儿科,Expert-Hard,一名0–9岁男性接受临床评估。主要表现包括右腹部肿块约7×10cm，质地硬，消瘦，精神差。实验室要点为EBV-DNA定量显著高于参考范围（5.51×10^5copies/mL）、血红蛋白下降（105g/L）。影像或功能评估发现腹部超声结果支持回盲部及肠系膜淋巴组织增殖性病变、PET-CT及CT结果支持腹腔多发软组织肿块影，进展明显,请列出最可能的主要诊断及必要的次要诊断，按临床重要性排序；仅依据病例资料作答，并标明仍需验证的不确定诊断。,null,"{""diagnoses"":[{""rank"":1,""name"":""移植后淋巴增殖性疾病（PTLD）—Burkitt淋巴瘤"",""certainty"":""参考资料支持；应结合公开病例信息判断确定性""},{""rank"":2,""name"":""肝移植术后状态"",""certainty"":""参考资料支持；应结合公开病例信息判断确定性""},{""rank"":3,""name"":""细胞因子释放综合征（Ⅱ级）"",""certainty"":""参考资料支持；应结合公开病例信息判断确定性""},{""rank"":4,""name"":""胆道闭锁病史"",""certainty"":""参考资料支持；应结合公开病例信息判断确定性""}]}","{""scale"":[0,100],""criteria"":[{""name"":""主要诊断准确性"",""points"":40},{""name"":""必要次要诊断覆盖"",""points"":20},{""name"":""排序与临床重要性"",""points"":20},{""name"":""术语规范与不确定性表达"",""points"":10},{""name"":""无病例外臆测"",""points"":10}],""critical_errors"":[""遗漏危及生命的主要诊断"",""把缺乏证据的诊断表述为已确诊"",""编造病例外检查或病史""]}",team_authored,true,"{""no_name"":true,""no_identifier"":true,""no_exact_date"":true,""no_institution"":true,""no_copyright_source_text"":true}",团队病例池中的临床情景经重新组织和临床等价改写；公开文本仅保留完成任务所需信息，已删除或泛化身份、时间、机构和地点信息。
CCHARD-PUB-0006,scenario_decision,T05_diagnosis,儿科,Expert-Hard,一名0–9岁男性接受临床评估。主要表现包括儿童期出现多发黄色瘤，尤其四肢关节及臀部、无其他系统性症状。实验室要点为总胆固醇9.3mmol/L↑、低密度脂蛋白胆固醇7.99mmol/L↑,请列出最可能的主要诊断及必要的次要诊断，按临床重要性排序；仅依据病例资料作答，并标明仍需验证的不确定诊断。,null,"{""diagnoses"":[{""rank"":1,""name"":""家族性高胆固醇血症（LDLR基因复合杂合突变型）"",""certainty"":""参考资料支持；应结合公开病例信息判断确定性""},{""rank"":2,""name"":""颈动脉粥样硬化伴斑块形成"",""certainty"":""参考资料支持；应结合公开病例信息判断确定性""},{""rank"":3,""name"":""多发皮肤黄色瘤"",""certainty"":""参考资料支持；应结合公开病例信息判断确定性""}]}","{""scale"":[0,100],""criteria"":[{""name"":""主要诊断准确性"",""points"":40},{""name"":""必要次要诊断覆盖"",""points"":20},{""name"":""排序与临床重要性"",""points"":20},{""name"":""术语规范与不确定性表达"",""points"":10},{""name"":""无病例外臆测"",""points"":10}],""critical_errors"":[""遗漏危及生命的主要诊断"",""把缺乏证据的诊断表述为已确诊"",""编造病例外检查或病史""]}",team_authored,true,"{""no_name"":true,""no_identifier"":true,""no_exact_date"":true,""no_institution"":true,""no_copyright_source_text"":true}",团队病例池中的临床情景经重新组织和临床等价改写；公开文本仅保留完成任务所需信息，已删除或泛化身份、时间、机构和地点信息。
CCHARD-PUB-0007,scenario_decision,T05_diagnosis,内分泌科,Expert-Hard,一名40–49岁女性接受临床评估。主要表现包括颈部淋巴结肿大、纵隔肿块压迫食管导致上段食管狭窄。实验室要点为免疫组化示CD20(+)、Bcl-6(+)、CD10(+)、Ki67约80%、TgAb、TPOAb高于参考范围但与淋巴瘤无直接相关。影像或功能评估发现PET-CT示甲状腺、气管旁及上纵隔不规则软组织肿块FDG摄取异常高于参考范围、胸部增强CT示气管周围及上纵隔肿块,请列出最可能的主要诊断及必要的次要诊断，按临床重要性排序；仅依据病例资料作答，并标明仍需验证的不确定诊断。,null,"{""diagnoses"":[{""rank"":1,""name"":""原发性纵隔（胸腺）大B细胞淋巴瘤"",""certainty"":""参考资料支持；应结合公开病例信息判断确定性""},{""rank"":2,""name"":""桥本甲状腺炎"",""certainty"":""参考资料支持；应结合公开病例信息判断确定性""},{""rank"":3,""name"":""甲状腺结节性肿大"",""certainty"":""参考资料支持；应结合公开病例信息判断确定性""}]}","{""scale"":[0,100],""criteria"":[{""name"":""主要诊断准确性"",""points"":40},{""name"":""必要次要诊断覆盖"",""points"":20},{""name"":""排序与临床重要性"",""points"":20},{""name"":""术语规范与不确定性表达"",""points"":10},{""name"":""无病例外臆测"",""points"":10}],""critical_errors"":[""遗漏危及生命的主要诊断"",""把缺乏证据的诊断表述为已确诊"",""编造病例外检查或病史""]}",team_authored,true,"{""no_name"":true,""no_identifier"":true,""no_exact_date"":true,""no_institution"":true,""no_copyright_source_text"":true}",团队病例池中的临床情景经重新组织和临床等价改写；公开文本仅保留完成任务所需信息，已删除或泛化身份、时间、机构和地点信息。
CCHARD-PUB-0008,scenario_decision,T05_diagnosis,口腔科,Expert-Hard,一名20–29岁女性接受临床评估。主要表现包括侧面观凸面型，闭唇时颏肌紧张、上下前牙唇倾，轻度拥挤。影像或功能评估发现头颅侧位片示SNA、SNB偏大，ANB正常、牙列模型可见双颌前突覆牙合浅、覆盖浅,请列出最可能的主要诊断及必要的次要诊断，按临床重要性排序；仅依据病例资料作答，并标明仍需验证的不确定诊断。,null,"{""diagnoses"":[{""rank"":1,""name"":""双颌前突伴轻度牙列拥挤"",""certainty"":""参考资料支持；应结合公开病例信息判断确定性""},{""rank"":2,""name"":""21牙失活伴根管内吸收及根尖病变"",""certainty"":""参考资料支持；应结合公开病例信息判断确定性""},{""rank"":3,""name"":""面部轻度不对称"",""certainty"":""参考资料支持；应结合公开病例信息判断确定性""}]}","{""scale"":[0,100],""criteria"":[{""name"":""主要诊断准确性"",""points"":40},{""name"":""必要次要诊断覆盖"",""points"":20},{""name"":""排序与临床重要性"",""points"":20},{""name"":""术语规范与不确定性表达"",""points"":10},{""name"":""无病例外臆测"",""points"":10}],""critical_errors"":[""遗漏危及生命的主要诊断"",""把缺乏证据的诊断表述为已确诊"",""编造病例外检查或病史""]}",team_authored,true,"{""no_name"":true,""no_identifier"":true,""no_exact_date"":true,""no_institution"":true,""no_copyright_source_text"":true}",团队病例池中的临床情景经重新组织和临床等价改写；公开文本仅保留完成任务所需信息，已删除或泛化身份、时间、机构和地点信息。
CCHARD-PUB-0009,scenario_decision,T05_diagnosis,呼吸内科,Expert-Hard,一名60–69岁男性接受临床评估。主要表现包括未出现明确呼吸道症状、近3个月体重下降约5kg。实验室要点为肿瘤标志物多为阴性，仅NSE轻度高于参考范围。影像或功能评估发现胸部CT示双下肺不规则实变灶伴支气管充气征、PET/CT示病灶FDG摄取轻度增高(SUVmax1.7及1.4),请列出最可能的主要诊断及必要的次要诊断，按临床重要性排序；仅依据病例资料作答，并标明仍需验证的不确定诊断。,null,"{""diagnoses"":[{""rank"":1,""name"":""机化性肺炎"",""certainty"":""参考资料支持；应结合公开病例信息判断确定性""},{""rank"":2,""name"":""轻度贫血"",""certainty"":""参考资料支持；应结合公开病例信息判断确定性""}]}","{""scale"":[0,100],""criteria"":[{""name"":""主要诊断准确性"",""points"":40},{""name"":""必要次要诊断覆盖"",""points"":20},{""name"":""排序与临床重要性"",""points"":20},{""name"":""术语规范与不确定性表达"",""points"":10},{""name"":""无病例外臆测"",""points"":10}],""critical_errors"":[""遗漏危及生命的主要诊断"",""把缺乏证据的诊断表述为已确诊"",""编造病例外检查或病史""]}",team_authored,true,"{""no_name"":true,""no_identifier"":true,""no_exact_date"":true,""no_institution"":true,""no_copyright_source_text"":true}",团队病例池中的临床情景经重新组织和临床等价改写；公开文本仅保留完成任务所需信息，已删除或泛化身份、时间、机构和地点信息。
CCHARD-PUB-0010,scenario_decision,T05_diagnosis,呼吸内科,Expert-Hard,一名50–59岁男性接受临床评估。主要表现包括发热最高39℃、明显咳嗽无痰。实验室要点为WBC3.38×10^9/L、CRP67mg/L。影像或功能评估发现胸部CT示双肺弥漫磨玻璃密度影伴小叶间隔增厚、双肺散在薄壁囊腔,请列出最可能的主要诊断及必要的次要诊断，按临床重要性排序；仅依据病例资料作答，并标明仍需验证的不确定诊断。,null,"{""diagnoses"":[{""rank"":1,""name"":""肺孢子菌肺炎"",""certainty"":""参考资料支持；应结合公开病例信息判断确定性""},{""rank"":2,""name"":""淋巴瘤化疗后免疫功能低下"",""certainty"":""参考资料支持；应结合公开病例信息判断确定性""}]}","{""scale"":[0,100],""criteria"":[{""name"":""主要诊断准确性"",""points"":40},{""name"":""必要次要诊断覆盖"",""points"":20},{""name"":""排序与临床重要性"",""points"":20},{""name"":""术语规范与不确定性表达"",""points"":10},{""name"":""无病例外臆测"",""points"":10}],""critical_errors"":[""遗漏危及生命的主要诊断"",""把缺乏证据的诊断表述为已确诊"",""编造病例外检查或病史""]}",team_authored,true,"{""no_name"":true,""no_identifier"":true,""no_exact_date"":true,""no_institution"":true,""no_copyright_source_text"":true}",团队病例池中的临床情景经重新组织和临床等价改写；公开文本仅保留完成任务所需信息，已删除或泛化身份、时间、机构和地点信息。
